微博id,微博正文,发布位置,发布时间,发布工具,点赞数,转发数,评论数,原始图片url,微博视频url
IvYqo1Bw4,男人的钱不是不好赚，而是他们的消费大头体现在别的方面。国内7成以上的人口和市场，都在地方县市，这些地方的男性基本都早婚早育，婚后大部分消费，就是孩子养育，上学，家庭开支。所以其实赚小孩的钱，赚少妇的钱，就是赚男人的钱。国内这些消费都是女主人说了算的。除此以外，剩下的男性，无非就是鞋，电子，游戏，等等，除此以外还有两个：单身男性为性欲买单，什么清空购物车，情人节礼物，女朋友之类的，所有男性为贪欲买单，炒股课，P2P，空气币，赌博等等，中老年男性为保健品和壮阳买单。但普通的性欲消费，比重不大，大部分男性其实不相信爱情。最坚信的主要是贪欲，保健，和壮阳，这方面的消费数据，比女人更可怕。                                ,无,2020-02-26 13:09,iPhone 8 Plus,2565,248,326,无,无
IvY0p3kzf,后台投稿说自己副业赚钱的人不少。这些人都有个共同点：1，主业做的好，有资源，可以拓展，最起码是主业里的专家，副业不是逃避，而是辐射，2，主业做的不好的，也有工作外的多门一技之长，而非一无是处，3，主要赚女人和小孩的钱。总结一下就是：我说公务员要学好英语尤其要琢磨亲子英语最好跟自己家孩子一块学。很多人问我为什么，甚至有的人愤怒的问凭什么？不凭什么，就凭上面这三点呗。                                ,无,2020-02-26 12:05,微博 weibo.com,895,121,154,无,无
IvXxl5Cql,想发财用不着那么费事，还从什么宏观角度考虑，很简单：做离钱近的事就行。离钱近在我看来有三个类型：1，就是直接金钱，货币，资本。上是资本运作，非大佬不能操盘，中是券商投行，VC基金，给上层的大佬打工的，非名牌大学不能胜任，下是炒股炒基金期货等等，明着上前给人当韭菜，一二层的大佬就是赚你的钱。2，就是流量产品，生意运作。所谓的什么利用人性的假丑恶，肤浅，虚伪，懒惰，无知，愚蠢，急功近利，贪小便宜。根本还是要回归到踏踏实实做生意，提高好的产品，宣传手段做流量只是为了勾引人来买。上是一流产品创业，海尔联想华为小米，中是流量产品创业，三只松鼠，曾经的凡客，现在的各大年营收动辄过10亿几十亿的淘宝店。下是当当小网红，搞搞流量，比如我（别的案例懒的举了）下下是开店实体，地方小城（今年基本死绝了，明年也不会好）3，就是技术创新，引人投资。成了就是BAT，TMD，失败了就是ofo还有第四类，也是最传统的一类，承包工程，承包工厂，这个已经远去了，做大的稳定，旧有的亏钱，新兴的起不来。基本就这3条路，看你怎么选。正所谓高收益必然带来高风险：当销售，底层销售压力巨大，心理崩溃，淘汰率极高，做营销转化，压力巨大，心理崩溃，淘汰率极高，短视频编导，苦思冥想，头秃枯槁，红不起来，视频剪辑和文案文稿，熬夜头秃，网店，亏本，做网红，一筹莫展，红不起来，加入创业公司，眼光不行，运气不好，公司凉凉，自己蹉跎，创业，倾家荡产，炒股，被割韭菜，倾家荡产，风险没那么高的，门槛高：资本运作，没资格做，投行券商，没资格进，程序员，头秃，学历门槛高，培训机构现在基本不行，我从来都不是无脑成功学这个派别，我是理智风险评估成功学这个派别的，你好好想清楚了：想要钱，就必须得受罪，咬牙挺住。你连在一个小社群里坚持打卡都完不成，都多次失败，凌晨4点还不睡，最基本的早睡早起都做不到，罔顾自己的身体健康，可见。。。                原图                            ,无,2020-02-26 10:53,iPhone 8 Plus,688,320,74,http://wx1.sinaimg.cn/large/94900170ly1gc9m4qt0r0j20u00t77dz.jpg,无
IvWZimlET,道德经·第三章不尚贤，使民不争；不贵难得之货，使民不为盗；不见可欲，使民心不乱。是以圣人之治，虚其心，实其腹，弱其志，强其骨，常使民无知无欲。使夫知者不敢为也。为无为，则无不治。大概意思就是：不推崇厉害的人，这样老百姓就没啥奋斗效仿心理，稳定好物价，老百姓就不会偷盗；不整天宣扬成功成才，民心就不会乱。因此，圣人的治理原则：让老百姓吃饱肚子，大脑空空，意志薄弱，没上进心，身体健壮，没文化没知识，对向上攀登也没啥渴望和欲望。让极个别的天才，不敢闹事。这样就大治了。这比1995年布热津斯基提出的“奶头乐”理论，早了大概3000年。奶头乐，「Tittytainment」，由Titty（奶嘴）与 Entertainment（娱乐）合成，即提供各种可消耗时间的娱乐活动，让大部分人沉迷其中，丧失奋斗的动力决心，以保障社会的稳定。比如明星八卦，娱乐新闻，网络综艺，手游网游，电视剧集，消费主义，打折促销等等。因此有网友说要给年轻人树立正确人生导向，推崇科学家，限制娱乐明星，国家才有未来和希望。这个其实是错误的，明星就像是麻醉剂，绝大部分人注定不可能成为科学家，你把这些人的野心和欲望激发出来，又没啥能耐，又缺乏麻醉剂，指不定要闹出啥卵子，国家是真的没啥未来和希望。就现在这样挺好，该当科学家的人，一个不会少，庸碌的大众沉迷游戏明星短视频，挺不错的。以上是宏观层面的措施。下面说说微观的个人操作层面：使民无知无欲，几千年前就提出来了，但很不幸300年后有个叫陈胜的家伙，把老百姓心中的欲望，愤怒，野心，全给激发出来了，这句话叫：王侯将相宁有种乎！但相信这句话的人，真正做上位了，对手底下的，也是搞无知无欲那一套，这样是最好的。比如某著名低俗小视频软件，完全就是以低级庸俗上瘾为卖点的玩意儿，创始人居然克勤克俭，克己复礼，一点都不沉迷这些东西，反而坚信“延迟满足感”。这个世界太魔幻了。                原图                            ,无,2020-02-26 09:29,微博 weibo.com,792,265,115,http://wx2.sinaimg.cn/large/94900170gy1gc9jqrfbjdj20hs0ul7gl.jpg,无
IvTi5BOWC,没有教育？怎么发展科技？没有人才，怎么推动经济？这是两个误区。推动经济一定要靠科技，发展科技也一定需要天才和人才。但天才不是教育能够教出来的，必然是自我教育出来的，人才也不是教育能教出来的，都是选拔出来的，自动涌现出来的。我做教育有10年了，时间越长，越能感受到这点。优等生是不需要教的，他们只需要空间和自由，偶尔给点启发就好。你不能去教他，反而可能把他教坏。这种人天生就能搞高科技，做大生意。从这点来说，我们现在的教育特别完善，质量特别高：完善的高考制度，让最勤奋，最聪明的一群人，不断的进入以清北为首的高校系统里，吸取知识。一流的大学学风好，竞争激励，人人向上，保持着旺盛的求知欲和为学术奋斗的热血，二三流的大学学风差，环境极为宽松，让在高考制度中漏网的天才和人才有空间和时间自我教育，自我实现。天下英雄尽入吾彀中矣，一点都没错。再说我国的人口基数大，基因库也非常完整，《社交网络》开头第一句就说过：假设智商120以上的即为天才，那么中国的天才数量，被美国全国的总人口还要多。所以人才和天才，根本从来就不缺。更何况推动科技进步的从来都不是教育，而是科研体系。科研体系四个字，极为重要，跟教学完全是两码事，只有健康的，蓬勃的，透明的，宽松的科研体系和科研环境，才能安置好这些天才和人才，才能让天才和人才们发光发热，良好的发挥出自己的聪明才智。这方面我们暂时做的还不是很好。但这和教育没啥关系。所以推动整个人类和社会进步的，永远都是那一小撮天才和人才。至于普通屁民，那就是造粪机器，说好听点叫消费市场，换言之就是韭菜，充当干电池，贡献GDP没人在乎智商一般，努力一般，毅力一般的普通屁民的死活。我开这个微博的目的，也是为了回归到教育的本质，而不是选拔的本质， 即让普通中等生，可以找到归宿，找到训练的方法和途径。的确有不少中等生受益了取得一定成果，但是从我接到的反馈案例来看，永远是优等生得到的帮助，取得的成果更大。比如今天给我投稿的，年营收超过一千万的大哥，还有后台接到的中大型公司的副总，以及纠结八九十万和一百万的offer选哪个的这些个人。他们不看我微博，其实也能拿到这些成就，看了我微博，最多也就是稍微提前了一点，缩短了一些时间而已。但是中等生，很难取得这样的成果，苦口婆心的教，他还是纠结于“为什么鸽子这么大”。这是没办法的事情                                ,无,2020-02-26 00:05,微博 weibo.com,1299,245,163,无,无
IvT3bBVcj,真不明白就不能提高一下教育质量，把专科院校的教育质量提高，把本科院校的教育质量提高吗，光扩招扩招的--------------------------------------------------------------------------教育从来都不是国本，经济才是国本，经济增速变缓，新增岗位减少，这个时候教育的质量越高，越容易出乱子，培养出了大量杰出精英找不到工作，后果很不妙。教育质量差，大量怂懒蠢的废物找不到工作躺家里，社会才安定很多。                                ,无,2020-02-25 23:28,微博 weibo.com,1812,154,301,无,无
IvSZ8avo0,研究生扩招很好理解，各行各业提供的就业人数越来越少了，也就电商短视频网络营销这块还在扩招，肯定是无法吸纳所有专业的学生的，大部分学生甚至压根不知道这块还在疯狂赚钱和扩大规模，那就多让一些人考研，缓解这两年的就业压力呗。但是要专升本也扩招，这个信号就有点意思了，大部分专科专业对应的都是工厂的技术工人，本科对应的则是企业里的文职。换言之报纸上鼓吹了20年的什么高级技工待遇好，福利高，缺口大，什么月嫂热，家政热之类的谎言，彻底破产了呗。对于我们教培行业当然是巨大利好，巴菲特那句名言真的应验了我们这行：别人恐慌时我贪婪。大家都恐慌了，焦虑了，课当然越来越好卖，报名人数当然越来越多。不说了，我去研发考研类的课程了。                                ,无,2020-02-25 23:18,微博 weibo.com,3148,238,473,无,无
IvSrD7ehl,鸡汤辟谣系列快写完了，欢迎大家来多投稿提问啊，对你感觉很荒诞的鸡汤，成功学小故事，人生道理，觉得很疑惑，想反驳又不知道怎么反驳的，都来告诉我。我会从逻辑，以及现实细节的合理性两个角度，来进行分析。请大家多留言，感激。 原图,无,2020-02-25 21:55,微博 weibo.com,570,4,209,http://wx3.sinaimg.cn/large/94900170gy1gc8zotsdpwj20dw0iwgxa.jpg,无
IvRvgwNIr,投了50份简历只拿到一个offer，想考公务员。父母小城市公务员，家境普通，但是我妈，她当了一辈子的公务员，很反对我考公务员，原因如下：1.她认为公务员收入很低，以她自己的工作经验来看。2.她认为研究生学历，特别我是留学回来的，考公务员很亏。3.她认为年轻人就应该奋斗，多赚钱。4.她觉得深圳这种大城市未来发展比成都好。我请我妈妈给我指条明路，她又说她也不知道。这位集美实惨……我推荐了电商类，外贸类，和短视频类的岗位，深圳多，估计家里人又要说，起点低，门槛低，low但门槛高也进不去啊，而且这些就是现在少数赚钱的，又可能进得去的工作。                原图                            ,无,2020-02-25 19:32,iPhone 8 Plus,2146,58,502,http://wx1.sinaimg.cn/large/94900170ly1gc8vfpxfxcj20yi34f7w7.jpg,无
IvQTZ9ycN,各位集美千万不要自我设限，觉得结婚了就该“家庭为重”，觉得“女人就该辅助”，如何如何。尤其是有实力有权势的女性，更不要轻易的放权给老公听。夫妻相处的模式有很多中，最重要不是符合外界的一刀切标准，而是夫妻双方快乐幸福。案例的老公显然就喜欢主内，烧一手好菜，何必望夫成龙？他难受，你痛苦。更何况这位集美自己就是龙，那就抓紧机会，呼风唤雨，畅游事业，岂不美哉～                原图                            ,无,2020-02-25 18:00,iPhone 8 Plus,2190,100,131,http://wx1.sinaimg.cn/large/94900170ly1gc8swig9ntj20yi3cqhb7.jpg,无
IvQLKxs03,公立教育和社会最大的区别就是，在学校里你绝对不可以偏科，必须每门都达到优秀，才能考上好大学。有一门不行，基本就跟好大学拜拜了。而在社会上，你各方面都平庸，但只要有一点过硬，超过常人，就绝对称得上是人才了。如果有两三点厉害，那就是绝顶高手了。举个例子，有的人只擅长流量，涨粉，别的完全不懂，那他就可以以此为非常好的起点，去交换资源，跟人合伙搞网店，合伙做生意。有的人只擅长销售攻坚，别的生活自理能力一团糟，无所谓，一样是非常好的起点，去任何一家公司都是过硬的人才。擅长营销，擅长投放，擅长写作，擅长做视频等等，都是的。商业领域，五花八门，只要你会一点，就可以挺直腰杆，底气十足。但这里刚好是学校教育带来的恶果。在学校里，能够做到全面优秀的人，始终是极少数。这些人说实话，大学毕业了也基本不从事商业，搞科研的，从政的，搞学术的，占了绝大多数。从事商业的，大部分还是那些中等生，偏科生，甚至后进生。但是中等生后进生偏科生，从小到大，12年养成的思维和行为本能，从来就没有尝试过去集中一点，全神贯注，只放在一个领域，一种技能，彻底突破。没这个基因，没这个经历，更没接受过这样的训练。他们只接受过一种训练，一种教育，就是要把自己的精力平均分配。尤其是偏科生最受打压，要求把最擅长的少投入时间精力，多投入自己不擅长的。久而久之所谓的全面发展，就变成了全面平庸，根本就没有学习能力，也从未体会过把一门特长，学到非常高深的境界是什么感觉。这样的学生长大后，基本就彻底丧失了学习能力，深入钻研的能力。从这点来说中等生后进生偏科生无疑是教育的受害者。                原图                            ,无,2020-02-25 17:40,微博 weibo.com,1330,373,181,http://wx4.sinaimg.cn/large/94900170gy1gc8saklk5kj20jg0jg78g.jpg,无
IvQBMFeJW,年营收过千万的副业是如何做成的。 [组图共2张]原图,无,2020-02-25 17:15,iPhone 8 Plus,813,110,106,"http://ww3.sinaimg.cn/large/94900170ly1gc8rkcijjaj20yi5hrhdt.jpg,http://ww1.sinaimg.cn/large/94900170ly1gc8rko7tyxj20u024pb0f.jpg",无
IvPYafKxQ,#奶爸鸡汤辟谣系列#021做销售不是也很容易被取代吗基本没有门槛。此条为假。干商业干的好的人，被取代的可能性很小。比程序员更难被取代。一般人认知中所谓的不可替代性，基本就是所谓的技术门槛，学好一门技术了，就不可取代了。当然有这样认知的人，往往也没技术。但不可取代性，最大的体现是资源，所谓的资源，就是人心。《我的前半生》里有个大超市的采购老经理的角色，这样的人看上去很普通，任何一个大学毕业的人都可以取代他。但是如果你真这么做了，第二天超市就玩不转了。因为那么多供应商，可信的，性价比高的，只有他知道，商场这么多商铺，大家只信任他，只和他关系好。大学毕业的人，你过来取代试试？销售也是同样的道理。一个金牌销售，能够背起一家公司3成以上的销量。好的客户，只信任他，只喜欢和他打交道，不喜欢别人。你取代他试试，取代一个给我看看？这叫啥没门槛？                原图                            ,无,2020-02-25 15:37,微博 weibo.com,751,77,92,http://wx2.sinaimg.cn/large/94900170gy1gc8oqktoueg20b4068k83.gif,无
IvPTErwyU,干商业和学商科是两码事，区别很大。最大的区别就是学商科的人基本都干不好商业。 ,无,2020-02-25 15:26,微博 weibo.com,518,65,98,无,无
IvPGGpjcF,#奶爸鸡汤辟谣系列#020奶爸您好。有一个鸡汤“做事就是做人，人做好了，事也就成了。”但是很多做成事情的人，不见得符合正确的原则。那么做事过程怎么去对原则进行取舍？本条鸡汤为假。在国内想成事，一定会得罪人，得罪大量的人。看看王刚师傅，李佳琦，李子柒，算是形象特别好的了。网上有多少人黑他们？照样得罪人。大部分人都没有网红的优质形象和朴实性格。那么在现实生活中做事，一定会得罪人。而且是那种自己没有任何意识，和他没关系，不知不觉就得罪的人。人类就是这么卑鄙又可悲的生物，没办法的事。记住：如果想成事，就一定会得罪人，一定有人骂你做人不行，如果想做人，想原话，八面玲珑，就一定不能成事。这是一条铁律。春秋战国时候，吴起变法，得罪了楚国大量贵族，楚王死后，被贵族杀害。商鞅为了变法，把秦王室的王族的鼻子给割了，以此显示变法决心，得罪了大量贵族。秦孝公死后，商鞅被车裂。三国时候，刘备极为擅长搞人际关系，但是曹操和孙权是怎么称呼他的？“大耳贼”就现在，你在政府，公司里，想做成事，潜在得罪的人也不知道有多少。这些是想要成事的必然结果，不可能规避掉。光想着会做人，一辈子也无法成事。正确的做人的标准，伟人其实早就说过了：谁是我们的敌人？谁是我们的朋友？这个问题是革命的首要问题。中国过去一切革命斗争成效甚少，其基本原因就是因为不能团结真正的朋友，以攻击真正的敌人。我们的革命要有不领错路和一定成功的把握，不可不注意团结我们的真正的朋友，以攻击我们的真正的敌人。把革命换成事业，工作，成就，成功二字，也说得清。                原图                            ,无,2020-02-25 14:54,微博 weibo.com,709,245,69,http://wx2.sinaimg.cn/large/94900170gy1gc8ninhul1j20jg0jeh2t.jpg,无
IvPxFl5Ul,#奶爸鸡汤辟谣系列#019“富二代他爸给了富二代几千万，富二代没能把钱翻一倍。但是农一代老爸给了农二代200块，农二代能翻好几十倍。”我爸是鸡汤语录爱好者，在某音上看到几句就拿来教育我，我昨晚听到差点想掀饭桌。请您评价下这句话。本鸡汤为假：美团创始人王兴，老爸是水泥厂厂长，亿万富翁，给了儿子50万人民币启动资金。王兴现在身价大概400亿，腾讯创始人马化腾，老爸是上市公司CFO，根据《腾讯传》应该是没有给儿子启动资金，小马的第一桶金是自己承包项目赚的几十万。但是老爹经常帮儿子清点账目，设计公司流程，招聘团队，对早期的公司制度设计，管理和发展提供了大量宝贵建议。说实话这些比几千万珍贵多了。马化腾身价约3000多亿人民币。那么农二代。给200，翻几十倍，我们就算90倍吧，也就是18000元钱。如果是年收入18000元，平均月薪就是2000块钱不到，远低于社保局规定最低工资标准3500，仍属于贫困阶层。本质上没有任何进步和上升。另：中美富二代创业成功的，基本都是学技术的，哪怕技术不太好，起码见过世面，知道真正的技术大牛是什么样的人。富二代都自信极强，安全感十足，爱折腾，出手大方，富有人格魅力，很容易就笼络到普通人家的技术高手跟着一起创业，搭建核心团队。富二代创业不成功，败家子，吃喝嫖赌家财守住努力奋斗赔掉底裤的，基本都是学商和学文的。首先不通技术，找不到靠谱的技术人才很容易被人忽悠，其次搞商业完全就是傻白甜，没这个基因。以前我们也分析过：所有的营销高手都是在利用人性的弱点来赚钱。所有的营销高手都能深深的洞察到人性的假丑恶，肤浅，虚伪，懒惰，无知，愚蠢，急功近利，贪小便宜。但是富二代不行，因为他们对人性的洞察不够深入，这个和智商无关，只和经验有关——他们从小就活在隔绝下的生活环境里，厨师保镖司机保姆照顾着，身边所有的同学大家都友善平等相处，没人会因为钱而面红耳赤，大家都不差钱，自然也就无法理解各种贪小便宜的操作。这样的人长大了，他没办法感受到人性深处的阴暗面，继而也就无法做好营销策划，公司业务给他管，迟早得黄。所以营销高手不可能在富人家庭中诞生，距今为止所有的营销大师都是家境普通甚至从小食不果腹极为贫寒的。总结：如果你家里有钱，就不要让小孩学商学文。富二代要上进学点好，不要偷懒水文凭水知识，要学点硬科技。扎克伯格王兴马化腾家境都特别优渥，人都能守住寂寞认真敲代码。否则真的会努力奋斗，赔掉底裤。                原图                            ,无,2020-02-25 14:32,微博 weibo.com,609,115,79,http://wx2.sinaimg.cn/large/94900170gy1gc8mvjgw7uj20j60c2thx.jpg,无
IvPrajuoR,情商有一部分和社交有关，属于混社会的技能。一般的错误偏见是：学习成绩好，书生气重，不会做人，学习成绩差，社会经验丰富的人，擅长做人。后者在社会和情商方面，要有优势。这个定律在大学期间，完全不成立。因为不论是一二三四五六本的学生，都是学生，都没有经历过社会历练，只有单调的校园认知。在这个时候，人的情商，是和智商线性相关的。尤其是不同层次的人之间，对社交这件事的认知，不一样。层次高的人，你做牛做马，对他体贴无微不至，他总会觉得不好意思，想着回报你一下，层次低的人，你对他好，他不觉得这是善意需要回报，他会觉得这是因为我牛逼，你该。层次低的人，看待社会的角度就不一样——有便宜不占王八蛋，占别人便宜我开心。他不回想着回报，长远。这种层次高低的分布，是严格按照大学层次来进行的。大学好，层次高的人就多，大学差，层次低的人就多。不要在垃圾堆里搞社交找朋友。对于大学生来说，要记住这点。专注学习，锻炼自己才是正途。                                ,无,2020-02-25 14:16,微博 weibo.com,1030,147,117,无,无
IvP9Tp9cx,#奶爸鸡汤辟谣系列#018俞敏洪上大学给大家打水讨好同学的鸡汤。为真。但仅限于北大这类学校。咱们打开天窗说亮话：在名牌大学里跟同学搞好关系还有点用。在垃圾大学里跟同学搞好关系没屁用，关系越好，你越垃圾，根本不可能脱颖而出。保持表面和谐就够了。这个垃圾指绝大部分学校。 身处垃圾堆里，不可结交到优秀人才。你别无选择，只能自己去努力成为杰出和优秀。断了认识杰出优秀这条心。            [组图共2张]    原图                            ,无,2020-02-25 13:34,iPhone 8 Plus,881,81,107,"http://ww1.sinaimg.cn/large/94900170ly1gc8l4ketzfj20k01po1ha.jpg,http://ww1.sinaimg.cn/large/94900170ly1gc8l4jqfkvj20u01xm7wh.jpg",无
IvOZvvfRB,看法一致，这家店属于营销奇才。为这些实体操心的网民属于长工给地主担心的蠢货。 原图,无,2020-02-25 13:08,iPhone 8 Plus,532,50,89,http://wx2.sinaimg.cn/large/94900170ly1gc8kf8mc28j20u01hcnaq.jpg,无
IvOy22msj,家里穷，找到工作事业单位，也基本考上建筑老八校，要不要去。这题对我来说超纲了，希望建筑老八校已经毕业工作的同学，从你们的薪水待遇前景上现身说法，帮帮这位同学，给他一些帮助，感激您 原图,无,2020-02-25 12:00,iPhone 8 Plus,974,18,310,http://wx3.sinaimg.cn/large/94900170ly1gc8ig0mt4vj20u01hc1d6.jpg,无
IvOwnwoyi,考公会越来越难，没事不要作。 原图,无,2020-02-25 11:56,iPhone 8 Plus,1837,45,371,http://wx4.sinaimg.cn/large/94900170ly1gc8id3pkluj20u01hcwrx.jpg,无
IvOmJogib,有人拿这句话来让我辟谣。这里有个商业常识我要说一下：同样是爱说鸡汤，如果是职业经理人，那么丫可能是真的智障，梦游稀里糊涂做现在的工作——凡是工作过的同学，应该都知道这类傻逼领导。但如果是颇有成就的创业者说鸡汤，那就是另一个性质。做领导分为三类：管理创业改革其中管理最简单，职业经理人的工作流程全部都套路化，墨守陈规就好，所以有相当多的职业经理人热爱鸡汤，因为这帮智障除了鸡汤也总结不出干货。职业经理人严格遵守的套路流程是谁开创的？创业者，所以创业难度要大。最大的，当然是改革，比从零建设还要难的多。那么创业者和改革者公开场合讲鸡汤，不讲干货，是为什么？因为傻逼们听不懂。职业经理人讲鸡汤，ta自己可能是真傻逼，自己真信。创业者讲鸡汤，自己是不可能信的。信了，尸山血海的残酷创业环境，他走不出来。为啥还要真的讲？开讲了节目上，有个傻逼问，我对事业没兴趣就想要钱，教我。一般人想讲干货，肯定要从理财投资，职场升职，创业盈利讲起，讲10天10夜也说不清。但马云说什么？年轻要钱干什么？我这辈子没碰过钱，我对钱没有兴趣。看一下两者对比：讲干货，傻逼听不懂，不会做，大家记不住，不会传播，白费力。讲鸡汤，朗朗上口，傻逼们立刻就懂，快速传播，讲者的名气越来越大，提问的傻逼也被逗乐了，根本不在乎自己的问题有没有被解答。所以看有能力的创业者讲话，要看他说话的场合。比如我看老马的讲话，他说中文演讲我从来不看。因为他的中文演讲基本就是骗傻逼。                原图                            ,无,2020-02-25 11:32,iPhone 8 Plus,495,132,51,http://wx4.sinaimg.cn/large/94900170ly1gc8he2rm3dj209808cmxs.jpg,无
IvN83xYko,#奶爸鸡汤辟谣系列#017上过一门叫创业学的课，老师说：不要看成功的人是怎么成功的，要看失败的人是怎么失败的，避开那些雷，就比很多人都成功的多。 奶爸你觉得这观点对不？这个观点很对，问题是失败的案例你看了不？知道在哪里看失败的案例不？没有吧。那这句话对还是不对，跟你有关系不？更进一步，哪怕真的去看了的人，能看出个啥玩意儿呢？我摘抄下知乎上读者对《大败局》的读后感：“读《大败局》1.2读出了武侠小说的味道，高手过招，场面最是荡气回肠，手眼最是欲壑难填。成也萧何，败也萧何。”“不管怎么说，这本书记载的企业历史，让我看见可能，看见燃烧血液成就一份事业的决绝，是不破楼兰终不还的决绝。”“写了一些很表面的东西，可以当兴趣一读，增长知识量。真正学习企业管理内的东西的话不如看一家企业的种种败局，求深不求多。”“绚烂至极，归于平淡。大败局中的企业家的巅峰时刻，是绚烂的，也是短暂的。做大做强的背后往往意味着不为人知的妥协与屈辱。这种中国式的怪圈就是这样，猪肥了好杀。”“深感企业经营做大做强的不易，真正成功的都是百里挑一、千里挑一厮杀出来的。盛极而衰，原先促进企业成功的秘诀也会成为公司发展的拦路虎，过去的成功不等于现在的成功，要不断迭代升级，也就是中国古人讲的居安思危、亚马逊的DAY 1理念了。”基本全是这玩意儿。全部都是在谈“感悟”，“启发”，没有一个有能力整理出书中的知识和干货。企业失败，在大败局里最常见的无非三个原因：1，产权不明，2，盲目扩张，3，缺乏有效可行的盈利模式。额外加两个就是政商关系恶劣，和传媒舆论战失败。书里几乎都是在喂饭了，仍然很多人都看不懂，不具备最基本的总结归纳能力。所以怪啥？光会摆造型谈感悟，啥也没学到，garbage in garbage out，怪谁？                原图                            ,无,2020-02-25 08:24,微博 weibo.com,601,106,96,http://wx2.sinaimg.cn/large/94900170gy1gc7y3hrbkpj20w00k0b29.jpg,无
IvJzg115p,"#奶爸鸡汤辟谣系列#016“不要痴迷于从阅读成功人士的传记中寻找经验，这些书大部分经过了精致的包装，很多重要的事实不会告诉你。例如，盖茨的的书不会告诉你他母亲是IBM董事，是她给儿子促成了第一单大生意。巴菲特的书只会告诉你他8岁就知道去参观纽交所，但不会告诉你他国会议员的父亲带他去的，是高盛的董事接待的。”上面这种所谓的“毒鸡汤”，就是用造谣来反鸡汤。比鸡汤更恶心。巴菲特我暂时没法谷歌，没查，但是比尔盖茨我是查到的：网传比尔盖茨的老妈是IBM高管，但这是个谣言，他跟IBM的合作也不是走老妈的后门。查查维基就知道了His father was a prominent lawyer, and his mother served on the board of directors for First Interstate BancSystem and the United Way. Gates' maternal grandfather was J.W. Maxwell, a national bank president.他老妈的职位，人家调查的非常清楚，是这两家公司：First Interstate BancSystemthe United WayFirst Interstate Bancsystem是一家金融和银行控股公司the United Way应该是一家慈善基金公司总之不是IBM的董事比尔盖茨确实是个富二代，父亲是个超级大律师，年收入几百万美元的那种，母亲是金融公司董事，祖父是大银行的的总裁。这家人堪称中产阶级的顶点，通过工作所能够达到的顶点。也就是职业经理人，中产阶级的顶点。但不属于超级大富豪的级别。是比尔盖茨自己，靠着卓越的才能和头脑，才成为巨富，这算是很了不起的成就。这种所谓的反鸡汤，动不动就把成功归结于家世，拼爹，实在非常低级。但很不幸这种低级玩意儿，在国内越来越有市场，越来越受欢迎。简单说就是穷人眼中，有钱人都是一种生物，不分层级。银行总裁，和微软创始人。是一个级别，一样的财富，一样的社会能力和社会地位。但并不是。前者只是个职业经理人，后者则是标准的统治阶级，是足以影响美帝各项政策的，是真正的大资本家。就像你，一年赚钱几千万，也不可能天真的认为，自己有资格和马云掰掰腕子吧。就算是家里财产几个亿，这样的家庭，能够诞生出马云，比尔盖茨这样的人物，也是非常了不起的，他们身上有非常多值得学习的地方的。全部都归结于所谓的家世，背景，人脉，其实是极为脑残的想法。                原图                            ",无,2020-02-24 23:20,微博 weibo.com,669,202,69,http://wx3.sinaimg.cn/large/94900170gy1gc7wi0rq8oj20u00u0k47.jpg,无
